Date,Time,Open,High,Low,Close,Volume,"Simple Moving Average - SMA - SMA(40)","Aroon - Aroon Up(High,20)","Aroon - Aroon Down(Low,20)","Historical Volatility - HV - HV(Close,20,251)","BOLLINGER BAND ® - BB - BBUpper(40,2)","BOLLINGER BAND ® - BB - BBLower(40,2)","Relative Strength Index - RSI - RSI(14)","Exponential Moving Average - EMA - EMA(10,Modern)"
11/17/2022,9:54 AM,391.09,391.15,390.98,391.1,116630,0,65,20,0.919795490572044,0,0,48.6233089008709,391.30780008721
11/17/2022,9:55 AM,391.11,391.11,390.88,390.96,118354,0,60,15,0.908130092961544,0,0,45.7515892314233,391.244563707717
11/17/2022,9:56 AM,390.98,391.03,390.78,390.803,113836,0,55,10,0.8631388421685,0,0,42.7055325863449,391.164279397223
11/17/2022,9:57 AM,390.81,390.85,390.41,390.535,233863,0,50,100,0.872057203734451,0,0,38.048692227358,391.049864961364
11/17/2022,9:58 AM,390.55,390.56,390.34,390.465,164670,0,45,100,0.801005465875628,0,0,36.9163596416933,390.94352587748
11/17/2022,9:59 AM,390.47,390.77,390.47,390.48,198257,0,40,95,0.72579410122172,0,0,37.3466449381918,390.859248445211
11/17/2022,10:00 AM,390.46,390.48,390.27,390.3744,206451,0,35,100,0.725158820300266,0,0,35.5103113362095,390.771094182445
11/17/2022,10:01 AM,390.33,390.51,390.14,390.2001,252093,0,30,100,0.63605247847058,0,0,32.6561221730279,390.667277058364
11/17/2022,10:02 AM,390.2,390.55,390.15,390.54,196429,0,25,95,0.724205329844826,0,0,42.381925335256,390.644135775025
11/17/2022,10:03 AM,390.535,390.66,390.41,390.4274,212524,0,20,90,0.715396741680798,0,0,40.3052851102792,390.604729270475
11/17/2022,10:04 AM,390.42,390.72,390.35,390.62,233549,0,15,85,0.743445203026868,0,0,45.2471397521532,390.607505766753
11/17/2022,10:05 AM,390.605,390.89,390.5999,390.88,206946,0,10,80,0.767830236120623,0,0,51.1289076133929,390.657050172798
11/17/2022,10:06 AM,390.89,390.9615,390.67,390.96,196201,0,5,75,0.700222469480002,0,0,52.8087325826738,390.712131959562
11/17/2022,10:07 AM,390.97,390.97,390.69,390.765,200393,0,0,70,0.705129996545879,0,0,48.4382468243417,390.72174433055
11/17/2022,10:08 AM,390.76,391.12,390.71,391.0821,188231,0,0,65,0.775213295244666,0,0,54.9653052777933,390.787263543178
11/17/2022,10:09 AM,391.08,391.08,390.8,390.96,95830,0,10,60,0.758880654000179,0,0,52.2239600441307,390.818670171691
11/17/2022,10:10 AM,390.94,390.955,390.72,390.75,90344,390.9849325,5,55,0.769947639716451,391.702217153834,390.267647846166,47.8076384270912,390.806184685929
11/17/2022,10:11 AM,390.7405,391.01,390.71,390.97,93303,390.9864325,0,50,0.795408425026544,391.703334923449,390.269530076551,52.3534403671244,390.835969288487
11/17/2022,10:12 AM,391.01,391.21,390.77,390.81,275272,390.9796825,0,45,0.80019569294979,391.698016816148,390.261348183852,49.0101681496134,390.831247599671
11/17/2022,10:13 AM,390.81,391.02,390.51,390.58,225373,390.9649325,0,40,0.785219281988119,391.691215141198,390.238649858802,44.6009354697984,390.785566217913
11/17/2022,10:14 AM,390.6,390.94,390.56,390.9,91513,390.9596825,90,35,0.845943524545775,391.684729664019,390.23463533598,51.1815658226966,390.806372360111
11/17/2022,10:15 AM,390.9,391.0401,390.87,391.01,106529,390.9624325,85,30,0.843068711563368,391.687387757215,390.237477242785,53.2378671988093,390.843395567363
11/17/2022,10:16 AM,390.99,391.31,390.93,391.1236,199873,390.959805,100,25,0.8344257924461,391.681636121675,390.237973878325,55.330460015765,390.894341827843
11/17/2022,10:17 AM,391.115,391.44,390.985,391.44,201039,390.970805,100,20,0.830380031607288,391.707997870371,390.233612129629,60.6166836288225,390.993552404598
11/17/2022,10:18 AM,391.43,391.43,391.1,391.19,132052,390.985305,95,15,0.86710111777116,391.716330955847,390.254279044153,55.0711143876989,391.029270149217
11/17/2022,10:19 AM,391.19,391.36,391.11,391.36,121216,390.995305,90,10,0.87513707555804,391.735558029666,390.255051970334,57.8921625081122,391.089402849359
11/17/2022,10:20 AM,391.36,391.82,391.3562,391.7789,215060,391.0185775,100,5,0.925023392811737,391.796420895038,390.240734104962,63.9061696862319,391.214765967658
11/17/2022,10:21 AM,391.78,391.96,391.73,391.868,275092,391.0350275,100,0,0.895083318935806,391.855055266596,390.214999733404,65.0495884760579,391.33353579172
11/17/2022,10:22 AM,391.87,391.93,391.52,391.535,166739,391.041935,95,0,0.934827435534372,391.873950020812,390.209919979188,57.6934473070399,391.370165647771
11/17/2022,10:23 AM,391.55,391.87,391.535,391.85,206759,391.061185,90,5,0.950655055335671,391.930620883101,390.191749116899,62.0637444603529,391.457408257267
11/17/2022,10:24 AM,391.84,391.89,391.55,391.6189,139327,391.0744075,85,0,0.980755934302051,391.961109811044,390.187705188956,57.3805508076379,391.486770392309
11/17/2022,10:25 AM,391.61,391.67,391.47,391.575,94763,391.0822825,80,40,0.962960626961815,391.980952491525,390.183612508475,56.508252010057,391.502812139162
11/17/2022,10:26 AM,391.58,391.9,391.56,391.831,90928,391.0883075,75,35,0.983016486385564,392.00359031672,390.17302468328,60.298499832041,391.562482659315
11/17/2022,10:27 AM,391.83,392.09,391.72,392.07,114700,391.0980575,100,30,0.970488717153078,392.046068259271,390.150046740729,63.4969021098041,391.654758539439
11/17/2022,10:28 AM,392.07,392.2,391.95,391.99,143905,391.1083075,100,25,0.947805211881997,392.085360945148,390.131254054852,61.7049638577324,391.715711532268
11/17/2022,10:29 AM,391.98,392.07,391.8125,392.04,113376,391.1253075,95,20,0.934265830712685,392.142139646938,390.108475353062,62.4188117978872,391.774673071856
11/17/2022,10:30 AM,392.03,392.07,391.8518,391.97,149783,391.13831,90,15,0.908299089454374,392.184295596362,390.092324403638,60.712516551504,391.810187058791
11/17/2022,10:31 AM,391.96,391.9899,391.6101,391.7199,142295,391.1425575,85,10,0.93643280548109,392.196544943085,390.088570056915,54.9344348343438,391.79377122992
11/17/2022,10:32 AM,391.7,391.76,391.635,391.74,109447,391.1503075,80,5,0.917637502472375,392.217116159133,390.083498840867,55.3026101405463,391.783994642662
11/17/2022,10:33 AM,391.72,391.83,391.63,391.6786,110823,391.1637725,75,0,0.885847988340446,392.243241889301,390.084303110699,53.8551907048418,391.76483198036
11/17/2022,10:34 AM,391.675,391.71,391.51,391.68,99637,391.1782725,70,0,0.849699945137385,392.269444142048,390.087100857952,53.8848278899269,391.749407983931
11/17/2022,10:35 AM,391.685,391.685,391.4178,391.4399,156209,391.19027,65,0,0.882878747045043,392.282130979652,390.098409020348,48.1707481568343,391.693133805034
11/17/2022,10:36 AM,391.43,391.59,391.37,391.46,148086,391.206695,60,0,0.878504114881026,392.294518008717,390.118871991283,48.6615555346507,391.650745840483
